actuator's autocrat's
dame-school school-made

color-washed wash-colored

ill-acted tile-clad

coin-made mid-ocean

co-ordinate iron-coated

contra-lode tan-colored

art-colored rat-colored

centimeter-gram gram-centimeter

anti-Greece great-niece

self-catering self-creating self-reacting

Anglo-chinese shoe-cleaning

Helleno-italic Italo-hellenic

thale-cress three-class

horse-race race-horse

space-time time-space

ice-master ice-stream

re-creation re-reaction

coal-meter late-comer

re-enact ten-acre

co-estate testaceo-

all-covering calling-over

Hamito-Semitic Semito-Hamitic

Letto-slavic Slavo-lettic

car-mile re-claim

arsenic- caser-in

cerat- re-act

cast-off off-cast

archi- rachi-

arch- char-

coal-pit pit-coal plicato-

crani- in-car

cirro-stratus strato-cirrus

cumulo-stratus Strato-cumulus

sacro- sarco-

sacr- sarc-

a-cry cary-

tow-headed two-headed

dull-eared lead-ruled

stone-dead tea-sodden

art-minded mat-ridden

dog-drawn down-drag drag-down

pearl-teethed three-petaled

fresh-leaved half-severed

fine-leaved vine-leafed

well-agreed well-geared

glare-eyed large-eyed

three-phased three-shaped

well-earthed well-hearted

well-leased well-sealed

lease-lend lend-lease

deep-sea sea-deep

evil-fashioned vile-fashioned

harvest-field silver-hafted

well-farmed well-framed

edge-grain gag-reined

earth-rending heart-rending

orange-red red-orange

horse-trade short-eared

lip-learned pearl-lined peril-laden

well-paired well-repaid

ill-treated little-read

well-mated well-tamed

well-stated well-tasted

over-dear over-read

first-famed stiff-armed

gold-leaf leaf-gold

ill-fated left-laid

pan-fired pan-fried

dew-fall wall-fed

alms-fed self-mad

long-haired rod-healing

horse-trading short-grained

ring-shaped spring-head

earth-god goat-herd

age-old old-age

sea-dog sea-god

woolly-haired woolly-haried

hawk-nosed shake-down

mutton-head tan-mouthed

pot-shaped top-shaped

heads-up U-shaped

satin-worked work-stained

land-tie tail-end

pre-Dorian pre-ordain

taker-down two-ranked

town-made two-named

day-net ten-day

top-drawer water-drop

hand-off off-hand

dim-gray mid-gray

God-man man-god

hard-iron iron-hard

fare-free fear-free

nerve-shaken never-shaken

flesh-eating self-heating

heel-fast self-hate

far-seen sea-fern

gray-green green-gray

kilogram-meter meter-kilogram

master-singer sister-german

yellow-orange orange-yellow

rathe-ripe three-pair

heart-wise wise-heart

water-white white-water

lark-heel rake-hell

sea-horse sea-shore

rare-ripe re-repair

self-arising self-raising

half-note half-tone

fat-hen hen-fat

faker-out freak-out

sea-fowl sea-wolf

foot-weary weary-foot

earth-moving heart-moving

gray-white white-gray

ale-swilling well-sailing

ash-white white-ash

apple-john John-apple

haem- hema-

at-home hemato-

hepat- hepta-

peri-insular pre-Silurian

master-work work-master

out-take take-out

all-over over-all

A-pole paleo-

apel- pale-

many-one one-many

nemato- to-name

two-master two-stream

mateo- meato-

aero- areo-

aper- prae-

apet- peta-

ater- tear- tera-

terat- tetra-

falling-off off-falling

fall-off off-fall

falling-outs fallings-out

foul-tasting soul-fatting

frying-pan pan-frying

frost-hoar hoar-frost

fry-pan pan-fry

gray-lit ray-gilt

angi- gain-

a-swing gin-saw

gall-nut nut-gall

long-span span-long

grano- organ-

mish-mash shim-sham

Saint-Simonism St-simonianism

Saint-Simon St-simonian

lamp-oil palm-oil

last-in Saint-L

alti- lati-

a-riot iatro-

pit-pat tip-tap

a-trip parti- patri-

polly-parrot poll-parroty

alto- atlo-

masto- somat-

nano- nona-

anp- pan-

snap- span-

praso- sapro-

astro- tarso-

Austro- stauro-

av- a-v

bob-cherry cherry-bob

bulb-tee tee-bulb

by-blow blow-by

cylindric-oblong oblong-cylindric

bio-electric Ibero-celtic

brick-red red-brick

cork-boring rock-boring

double-pored pure-blooded

blood-red bord-lode

body-mind mind-body

brown-red red-brown

bull-dog bull-god

blue-green green-blue

bitter-sweet sweet-bitter

blue-white white-blue

bone-white white-bone

open-timber open-timbre

Bo-peep peep-bo

brownish-yellow yellowish-brown

by-sitter sitter-by

blue-sky sky-blue

brown-purple purple-brown

by-west west-by

blow-fly fly-blow

blow-through through-blow

bill-hook hook-bill

built-in in-built

bromo- ombro-

self-unconscious unself-conscious

cut-price price-cut

cirro-cumulus cumulo-cirrus

well-credited well-directed

child-god god-child

well-corseted well-escorted

self-credit self-direct

chin-deep inch-deep

decimo-sexto sexto-decimo

twice-sued twice-used

foot-second second-foot

thick-piled thick-plied

tow-colored two-colored

center-fire centre-fire

pre-erection re-reception

pre-except pre-expect

off-center off-centre

twice-felt twice-left

cost-free scot-free

priest-prince prince-priest

cut-finger finger-cut

cross-fire fire-cross

cheil- helic-

hecto- theco-

crimson-violet violet-crimson

crimson-purple purple-crimson

cross-vein cross-vine

centro- contre-

counter- countre- re-count

C-note cteno- tecno-

co-une cuneo-

cero- core-

cet- ect-

Finno-Ugric Ugro-Finnic

cork-forming rock-forming

chin-high inch-high

coming-on on-coming

chiro- chori-

psycho- scypho-

pisci- spici-

costo- scoto-

octo- toco-

self-deluding self-indulged

well-moduled well-moulded

red-plowed world-deep

gold-red red-gold

do-gooder good-doer

downside-up upside-down

old-world world-old

de- ed-

self-designer self-resigned

tow-feeder two-feeder

well-levied well-veiled

well-served well-versed

deer-mouse mouse-deer

gold-green green-gold

light-veined night-veiled

dog-tree tree-god

hesperid- shred-pie

red-white white-red

miter-jointed mitre-jointed

red-violet violet-red

demi-rep epiderm- rim-deep

well-noted well-toned

well-sorted well-stored

well-doer well-rode

yellow-red red-yellow

purple-red red-purple

deep-sworn pro-Sweden

red-rose rose-red

first-formed frost-firmed

dog-fisher sighed-for

light-thoughted thought-lighted

dog-shore god-horse

pigeon-wood wood-pigeon

dun-white twin-hued

ill-timed tide-mill

ill-done old-line

demi- medi-

nine-word winder-on

no-side side-on

town-tied two-tined

sidero- soredi-

pedi- pied-

dun-yellow yellow-dun

dog-fish fish-god

foot-pound pound-foot

right-down thing-word

young-old old-young

shop-window window-shop

Indo- nodi-

up-wind wind-up

re-reserve re-reverse

rent-free tree-fern

eighty-seventh seventy-eighth

greenish-yellow yellowish-green

tree-hewing white-green

green-yellow yellow-green

ever-white three-wive

ninety-seven seventy-nine

pre-enter re-repent

fifty-seventh seventy-fifth

self-merit self-timer

five-twenty twenty-five

well-felt well-left

re-former re-reform

letter-high three-light

eighty-one one-eighty

evil-smelling vile-smelling

seven-thirty thirty-seven

seventy-sixth sixty-seventh

sixty-three three-sixty

wire-woven woven-wire

setter-in tres-tine

seventy-six sixty-seven

poet-priest priest-poet

lemon-yellow melon-yellow

sour-sweet sweet-sour

out-street setter-out

eighty-fifth fifty-eighth

silken-soft soft-silken

filler-up full-ripe

high-hole hole-high

heigh-ho high-hoe

eighty-sixth sixty-eighth

evil-looking vile-looking

novel-writing winter-loving

spring-well well-spring

white-woolly woolly-white

mile-ohm ohm-mile

pot-hole top-hole

hemo- home-

nephro- phreno-

nephr- phren-

house-top pot-house

eth- the-

exh- hex-

ninety-six sixty-nine

En-lil L-line

mile-ton ton-mile

tow-line two-line

ileo- leio-

tie-on toe-in

inter- retin-

eol- ole-

pelo- pleo-

slow-sure sure-slow

entom- mento-

en- ne-

ento- teno-

enp- pen-

ent- ten-

eroso- roseo-

petro- porte- prote- ptero-

Euro- ureo-

per- pre-

es- se-

off-putting putting-off

go-off off-go

fifty-sixth sixty-fifth

hit-off off-hit

off-put put-off

flirt-gill gill-flirt

foot-hot hot-foot

full-top top-full

foot-ton ton-foot

four-post four-spot

fusty-rusty rusty-fusty

thorough-shot through-shoot

right-ho right-oh

gun-shot shot-gun

lying-ins lyings-in

ligno- longi-

gono- no-go on-go

gyr- gry-

unh-unh un-hunh

phoo-phoo pooh-pooh

litho- thiol-

no-hit on-hit thion-

histo- hoist-

hypsi- physi-

hoplo- lopho-

mytho- thymo-

hot-spot pot-shot

ortho- thoro-

hypso- physo-

phyto- typho-

nilly-willy willy-nilly

mill-post spot-mill

nut-oil oil-nut

lipo- pilo- plio-

psilo- spoil-

lip- pil-

im- mi-

intro- nitro-

nip-up pin-up

mono- nomo-

noto- onto- tono-

ozon- zono-

put-on ton-up

not- ont-

oo- o-o

proto- tropo-

opto- topo-

rory-tory tory-rory

tow-row two-row

pros- spor-

prot- trop-

ot- to-

put-up up-put

A.B.A. B.A.A.

R.A.M. R.M.A.

B.C.E. C.B.E.

B.E.M. M.B.E.

C.M.G. G.C.M.

J.S.D. S.J.D.

L.D.S. L.S.D.

D.S.O. O.S.D.

D.P.W. P.W.D.

G.O.P. G.P.O.

H.M.S. H.S.M.

A.B. B.A.

A.C. C.A.

A.D. D.A.

A.G. G.A.

A.H. h.a.

A.L. L.A.

A.M. M.A.

A.N. N.A.

a.p. P.A.

a.r. R.A.

A.V. V.A.

a.w. W.A.

B.C. C.B.

B.Ch. Ch.B.

B.M. M.B.

B.Mus. Mus.B.

B.O. O.B.

B.P. P.B.

C.D. D.C.

C.F. f.c.

c.h. H.C.

C.I. I.C.

c.m. M.C.

C.O. O.C.

C.P. P.C.

C.R. R.C.

D.F. F.D.

D.J. J.D.

D.O. O.D.

D.P. P.D.

D.S. S.D.

D.V. v.d.

E.I. i.e.

e.o. o.e.

E.R. R.E.

G.O. O.G.

G.P. P.G.

G.S. s.g.

g.v. v.g.

H.R. r.h.

I.V. V.I.

M.P. P.M.

M.S. S.M.

O.P. P.O.

O.S. s.o.

P.S. S.P.

abl. Alb. bal. Lab.

abr. bar.

acpt. Capt.

ae. ea.

Alg. Gal.

Angl. lang.

gram. marg.

agr. Arg.

al. La.

alt. Lat.

amp. pam.

Arm. Mar.

amt. atm.

assn. Sans.

avn. nav.

Apr. par.

apt. pat.

astr. Srta.

av. Va.

bdl. dbl.

bl. lb.

bot. Tob.

Cdr. rcd.

chem. mech.

Celt. lect.

cen. enc.

cert. rect.

chs. sch.

civ. Vic.

Co. Oc.

corp. proc.

cp. pc.

cs. sc.

def. Fed.

Dem. med.

dep. ped.

gds. sgd.

di. id.

dim. Mid.

Din. Ind.

Dom. mod.

Dr. Rd.

Eng. Gen.

Ger. Reg.

Lev. vel.

Nev. Ven.

per. Rep.

Pres. resp.

pert. pret. rept.

est. Ste.

ext. Tex.

Fin. Inf.

gl. lg.

gro. org.

hist. Isth.

hort. Orth.

km. mk.

Mon. nom.

Mo. Om.

Mr. rm.

Port. Prot.

Ps. Sp.

Rs. Sr.

yrs. Syr.

rt. tr.

A/C C/A

B/W W/B

C/L L/C

C/O o/c

basiparachromatin Marsipobranchiata

alcazaba calabaza

carcinosarcomata sarcocarcinomata

anatomicopathological pathologicoanatomical

adenosarcomata sarcoadenomata

paradisaically paradisiacally

paradisaical paradisiacal

aracanga Caragana

ayahausca ayahuasca

Atacaman Tamanaca

anacara Aracana

salamandarin salamandrian Salamandrina

nasopalatal palatonasal

tantarara tarantara

Barabbas Barbabas

Bombacaceae Cabombaceae

Barabra Barbara

abaca Caaba cabaa

brachiofacial faciobrachial

abranchiate antebrachia

clarabella racallable

ablactate cabaletta

batrachian Branchiata

Batrachia Brachiata

balachan Chanabal

Calabari Calabria

arabica Arbacia

cabala calaba

cabaan cabana canaba

barracan barranca

Baracoa carabao caraboa

abacas cabasa casaba

casabas cassaba

abfarads absfarad

Badaga dagaba Gadaba

abdominovaginal vaginoabdominal

Abadan Nadaba

abastard Bastaard bastarda

glossolabiopharyngeal labioglossopharyngeal

glossolabiolaryngeal labioglossolaryngeal

appraisable parablepsia

alarmable ambarella

asamblea Balsamea

Anabase Sabaean

anabases anabasse

Abagtha Abgatha Bagatha

Abagail galabia

balagan Balanga Bangala

balangay bangalay

anabathmoi bathomania

Baalath Bathala

labionasal nasolabial

Assurbanipal sublapsarian

basinasal Bassalian

piasabas piassaba

abaka Akaba Kaaba

Bakatan batakan

Ambala Balaam

abomasal salambao

Albana Anabal Labana Nabala

Annabal Labanna

labara Rabaal

albatas atabals balatas

albata atabal balata

Annaba banana

Anabas sabana

Tarabar tarraba

bassara Rabassa

abrasax abraxas

artaba Atbara batara braata

baraza bazaar

Cactaceae Taccaceae

carcinosarcoma sarcocarcinoma

carcinosarcomas sarcocarcinomas

Aceraceae Arecaceae

calcanean calcannea

anatomicopathologic pathologicoanatomic

antarchistical charlatanistic

Accalia Cacalia

camaca Macaca

Caracas cascara

Actaeonidae Donatiaceae

Acidanthera Cantharidae

calendarial Dalecarlian

Calandrinae calendarian

acaridae Acaridea

caudolateral laterocaudal

Ancramdale calamander

adenosarcoma sarcoadenoma

adenosarcomas sarcoadenomas

acaudate Ecaudata

autoradiographic radioautographic

paradisaic paradisiac

acaridan Arcadian

acaridans arcadians Arsacidan

acardia Acarida Arcadia

Acrasida arcadias

anacard caranda

Carandas Casandra sandarac

Cassandra sandaracs

Acalephae Apalachee

aerographical areographical

aeolharmonica chloroanaemia

Acephalina Phalaecian

acalephan acephalan

Acalepha Acephala

anachueta Tehuacana

Cathartae Tracheata

analeptical Placentalia

calamitean catamenial

calamaries mesaraical

Alcantarines Lancasterian

paracasein parascenia

acraniate Carinatae

Caesaria Casearia

acalyptrate Calyptratae

catalase salaceta

almaciga Macaglia

canaglia Lacagnia

alachah halacha

anaphorical Pharaonical

acanthial calathian

asthamatic cathismata

parasuchian unpharasaic

anthracia Antiarcha Catharina

Acanthia Achatina

aphasiac Caiaphas

aphasiacs Paschasia

lachrymonasal nasolachrymal

calahan chalana

anacolutha Talcahuano

anarchal lanchara

canalisation Nacionalista

anaplastic palacsinta

Castalian satanical

anastaltic Catalanist

Catalina Catlaina

calvaria Clavaria

Castalia sacalait

macromazia Macrozamia

Carmania Macarani

Aramaic cariama

acarian Acarina Acrania

Catarina Craniata

anacusia Nausicaa

Cataian Catania

cavatina vacantia

acarari aracari

acratia Artacia cataria

Aracaj Caraja

Calama Camala

almanac mancala

amlacra calamar

alacran arcanal

calantas cantalas

cantala Catalan lacatan lantaca

Matacan Tamanac

ascomata atamasco

Acamar camara maraca

maracas marasca mascara

Macassar marascas mascaras

Acarnan caranna

arcana Canara

cantara nacarat

Araucan carauna

canasta Castana

Cayapa pacaya

acara araca

Castara sacatra

casavas cassava

Tanagridae Tangaridae

grandparental grandpaternal

Alexandrian Alexandrina

adamantine amantadine

anadenia Danainae

Anatidae Taeniada

alamedas salaamed

enramada Maeandra

Aggadah Haggada

autoradiograph radioautograph

autoradiography radioautography

Garlaand Garlanda

Adaminah Mahanadi

darshana Shardana

Dasahra sharada

altitudinarian Latitudinarian

Adalai Adalia

Adamina damiana

Adrianna anandria Andriana

Anapsida Anaspida

Adriana Ariadna Niarada

dataria Radiata

Adala alada

analysand Nyasaland

Saarland Saraland

Alvada Lavada

amadan Amanda manada

Armanda Narmada Ramadan

Armada Damara Ramada

armadas Madaras

Adamas Amadas

Ananda Annada Danaan

Arandas sardana

Danava Navada

Dasara saraad Sarada

hepatomegalia megalohepatia

laryngopharyngeal pharyngolaryngeal

paragrapher reparagraph

angiokeratoma keratoangioma

gallotannate tannogallate

Galatae Galatea

margarate Margareta

apanage Pangaea

appanage Papagena

Amalthea haematal

anthemata Matthaean

parietosquamosal squamosoparietal

Parentalia planetaria

Laverania Valeriana

aerarian Arenaria

ampalea palamae

antenatal Atlantean Tantalean

panatela Plataean

Apatela Plataea

anapnea Napaean

Anastase anatases

aspartate satrapate

fanakalo fanaloka

Anhanga Gahanna

Agnatha ataghan

analgias Salangia

astragali tarsalgia

Ataigal Galatia

Agrania angaria Niagara

aratinga Gratiana

assagai gaiassa

alalonga analogal

agalma Malaga

amalgam malagma

malanga nagmaal

galanas lasagna

Galata Tagala

Agama amaga

anagrams Samarang

Antagoras Saratogan

pangara pargana

Angara aranga nagara

Aragats Gaastra Saragat

Aargau aguara

Halakah halakha

Halakahs halakhas Haskalah

lanthania Nathanial

Alathia Ataliah Athalia

Amiranha maharani

Ahimaaz Amaziah

harianas Saharian

ratanhia rhatania

aphasia asaphia

aphasias Sihasapa

halaka kahala

harmala marhala

Maratha Tamarah

Athamas tamasha

Aranha Naarah

Havana vahana

Hazara Zahara

transamination transanimation

Kalamian malikana

palatial Palliata

malarian Maralina

Altamira Matralia

Natalian Natalina Talanian

paralian Planaria

australians Saturnalias

Australian Saturnalia

anastalsis assailants

Altaian Latania Natalia

appraisals paraplasis

alipata palatia Patiala

Alaria Aralia

Alastair salariat tarsalia

Anamnia mannaia

Amnionata Anamniota

Annmaria Marianna

amatorian inamorata

aramina Mariana

armarian marinara

Samaritan Sarmatian

Amratian Anamirta Araminta

amanitas Tasmania

paranoias Saponaria

Astartian Astrantia

Naravisa Varanasi

anatira Tariana

anastasis Nastassia

aspirata Parasita

piasavas piassava

aljama Jamaal

Ajanta Janata

Krakatao Krakatoa

Krakatau Takakura

Kalama kamala

lakatan lantaka

alaskas Kassala

akoasma Amakosa

Makasar samkara

Makassar samskara

Arkansan Sankaran

Ankara Arakan Kanara Naraka

katana nataka Tanaka

aupaka Kapaau

Arawaks Sarawak

Rakata Takara

Amaral Marala

Salaam Samala

amaltas salamat

antronasal nasoantral

pantalan platanna

Atalan Natala Tanala

Atlanta Talanta

Antalya Natalya

Amana anama maana

manana Naaman

Anamosa masanao

matasano tamanoas

mantapa Matapan

Amarna Manara Marana Namara

ramanas sramana

Amarant Maranta

Aymaran Aryaman

aromata tamarao Tamaroa

Amapa Apama

Amara Raama

Marasar Samarra

Amaras Asmara asrama Samara

asramas assamar samaras samsara

Artamas taramas

Armata matara Tamara tarama

amaas Amasa

Anaryan Narayan

Ananta Tanana

parazoan Zaparoan

apatan patana

tantaras tarantas tartanas

arnatta tantara tartana

Arauan Arauna

Anasa asana Sanaa

Anastas Satanas

asarta atsara satara

Aarau Araua

ABA BAA

Abba Baba

backbear bareback

barmbrack brambrack

barbadoes baseboard

barleybrake barleybreak

Baalbeer bearable

inobtainable nonbilabiate

Barnabite rabbanite rabbinate

Barbaresi barbarise

barbate Ebbarta

batophobia tabophobia

Babhan habnab

Sabbath Shabbat

Abbai babai

babirusas babirussa

babka kabab

babkas kababs

balabos balboas

Brnaba rabban

Babar barba

barbar Barbra

abbas babas Sabba

babassus subbassa

abac caba

cervicolabial labiocervical

blackacre crackable

backtrace traceback

cascabel cascable

cascabels cascables

accusable subcaecal

baccare braccae

backhatch hatchback

apickback pickaback

backcasts scatbacks

backcast scatback

bucconasal nasobuccal

barefaced facebread

abreacted acerbated

backlashed blackheads

abdominovesical vesicoabdominal

carbamide Crambidae

ambulanced manducable

broadcasters rebroadcasts

broadcaster rebroadcast

Archibaldo diabolarch

Branchiopoda podobranchia

Blanchard BLandArch

Bacardi carabid

backwards drawbacks

backward drawback

Barncard brancard

cheatableness teachableness

uncreatableness untraceableness

recreatable retraceable

bleacherman Malebranche

Blepharocera reproachable

cheatable teachable

Clarabelle recallable

clearable lacerable

uncreatable untraceable

sacrovertebral vertebrosacral

creatable traceable

acetable Albacete

bearance carabeen

factable labefact

abreacting acerbating crabeating

brainache branchiae

backlasher Blackshear

snatchable stanchable

cashable chasable

bicarpellary irreplacably prebacillary

columbotitanate titanocolumbate

ablastemic masticable

Balearic Cebalrai

bacterial calibrate

activable biclavate

carbamine Crambinae mainbrace

abreactions craniotabes

Cabirean carabine

braincase carabines

Ballance Bellanca

caballero Corabella

leucobasalt suballocate

barcella caballer

noncausable subanconeal

uncapable unpacable

balancer barnacle

balancers barnacles

balances bancales

capable pacable

alberca calaber

bracteal cartable

macaber macabre

Acrobates ascorbate

bareca bracae

barrace Cabrera

abstracters reabstracts

abstracter reabstract

abreacts bearcats cabarets cabresta scabrate

abreact bearcat bractea cabaret

casabe sabeca

backflash flashback halfbacks

fibromyxosarcoma myxofibrosarcoma

backfall fallback

fastback fatbacks

backhaul haulback

Banach bancha

Casbah Schaab

albication anabolitic

biracial cibarial

arabinic Cabirian Carabini cibarian

Cabiria cibaria

Bajocian Jacobian Jacobina

abacli Balaic

bacillar cabrilla

asyllabic basically

balsamic cabalism

balanic Caliban

botanical catabolin

arcubalist ultrabasic

basaltic cabalist

cambia macabi

carbamino macrobian

Ambrica Cambrai Cambria

Abanic Bianca

abaction botanica

arbacin carabin Cariban

carabins sarbican

Bactrian Cantabri

Arabic Cairba

abasic scabia

backwall Wallback

backsaw sawback

backway wayback

Balac Cabal

lumbosacral sacrolumbal

calomba Cambalo

bancal Blanca

trabacolos trabascolo

subcapsular subscapular

Albuca bacula

banca caban NABAC

barracoon Carbonaro

Barcan Branca

Abaco bacao caoba

borrasca carboras

abactor acrobat

Acrab Barac Barca Braca

barcas Barsac Brasca scarab

Abucay cabuya Cuyaba

barehanded bradenhead headbander

broadhead headboard

broadspread spreadboard

baaed Baeda

bakehead beakhead

barehead braehead

antibenzaldoxime benzantialdoxime

Baekeland kneadable

Adabelle dealable leadable

untradeable untreadable

bealtared tradeable

dateable dealbate

bayadeers bayaderes

bayadeer bayadere

adenofibroma fibroadenoma

draftable flatbread

bargained gabardine

bandage Dagbane

abrogated goatbeard

hairbreadths hairsbreadth

brakehand handbrake

Daberath Debarath

aidable Labadie

palmatilobed palmilobated

dentolabial labiodental

baladine balaenid

albardine drainable

Labridae radiable

benamidar Marienbad

sabadine sinebada

abstained bastinade

bastardies bastardise

abaised diabase

abaissed diabases

abatised basiated

Abdella ballade

ballades Sabadell

panelboard pardonable

adorable roadable

drapable parabled

Adalbert tradable

drawable wardable

ablated albetad datable

Banderma breadman

abandoner reabandon

abandoners reabandons

Bandera bardane Brandea

bandeaus unabased

Broadwater waterboard

adsorbate teaboards

abrades abrased

bandarlog Langobard

Dagomba gambado

dragboat tagboard

bhandari hairband

bahadurs subahdar

antialbumid Balantidium

adorability roadability

adibasi basidia

abdali abidal

tabardillo tarbadillo

laminboard Lombardian

mandibulary unadmirably

balanid banilad

broadtail tailboard

badian Ibadan indaba

indabas sabadin

abraid baidar Bardia

blanda Laband

Yorubaland unadorably

Balunda Bulanda

Labrador larboard

armband Bradman

aband badan Banda Nadab

bandoras barandos

bandpass passband

bandar Bradan raband

barnyard Braynard

badrans sandbar

aboard aborad abroad Baroda

barad Draba

Bastard tabards

abdat batad

breakweather weatherbreak

releasable resaleable resealable

unamenableness unnameableness

maneuverable manueverable

rateableness tearableness

gaugeable guageable

brakeage breakage

brakeages breakages

ablegates stageable

